,회사명,종목코드,상장일
607,LF,093050.KS,2006-12-01
608,LG하우시스,108670.KS,2009-04-20
609,LG화학,051910.KS,2001-04-25
610,LIG넥스원,079550.KS,2015-10-02
611,LS,006260.KS,1977-06-30
612,NAVER,035420.KS,2008-11-28
613,NICE,034310.KS,2004-02-04
614,NI스틸,008260.KS,1975-06-28
615,SH에너지화학,002360.KS,1985-12-23
616,SK증권,001510.KS,1986-09-20
617,SK하이닉스,000660.KS,1996-12-26
618,경인양행,012610.KS,1995-10-05
619,경인전자,009140.KS,1989-06-20
620,국보,001140.KS,1989-12-02
621,기신정기,092440.KS,2007-10-30
622,녹십자,006280.KS,1989-08-01
623,대교,019680.KS,2004-02-03
624,대동전자,008110.KS,1990-06-05
625,대림비앤코,005750.KS,1992-12-23
626,대양금속,009190.KS,1994-04-29
627,대창,012800.KS,1989-12-05
628,동국제강,001230.KS,1988-05-09
629,동양물산기업,002900.KS,1973-06-26
630,동화약품,000020.KS,1976-03-24
631,두산솔루스,336370.KS,2019-10-18
632,두산중공업,034020.KS,2000-10-25
633,디아이동일,001530.KS,1964-01-04
634,디아이씨,092200.KS,2007-10-18
635,롯데관광개발,032350.KS,2006-06-08
636,롯데케미칼,011170.KS,1991-05-30
637,맵스리얼티1,094800.KS,2007-04-09
638,무학,033920.KS,2010-07-20
639,미래아이앤지,007120.KS,1999-11-26
640,바다로19호,155900.KS,2012-06-29
641,부산주공,005030.KS,1975-12-26
642,비케이탑스,030790.KS,2010-11-02
643,빅히트,352820.KS,2020-10-15
644,사조씨푸드,014710.KS,2012-06-29
645,삼부토건,001470.KS,1976-06-26
646,삼성물산,028260.KS,2014-12-18
647,삼성바이오로직스,207940.KS,2016-11-10
648,삼성전자,005930.KS,1975-06-11
