,회사명,종목코드,상장일
411,넥스턴,089140.KQ,2006-11-01
412,넵튠,217270.KQ,2015-06-18
413,노바렉스,194700.KQ,2018-11-14
414,녹원씨엔아이,065560.KQ,2003-07-01
415,누리텔레콤,040160.KQ,2000-08-29
416,뉴파워프라즈마,144960.KQ,2016-11-30
417,대아티아이,045390.KQ,2001-05-17
418,대주전자재료,078600.KQ,2004-12-10
419,대창솔루션,096350.KQ,2007-12-17
420,덕산네오룩스,213420.KQ,2015-02-06
421,데브시스터즈,194480.KQ,2014-10-06
422,동아엘텍,088130.KQ,2007-01-03
423,드래곤플라이,030350.KQ,1997-11-10
424,디알텍,214680.KQ,2015-04-20
425,디엠티,134580.KQ,2013-11-26
426,딜리,131180.KQ,2011-01-31
427,럭슬,033600.KQ,2000-11-21
428,레드로버,060300.KQ,2002-01-10
429,레드캡투어,038390.KQ,2000-02-01
430,레이언스,228850.KQ,2016-04-11
431,로보로보,215100.KQ,2015-04-22
432,매일홀딩스,005990.KQ,1999-05-14
433,매직마이크로,127160.KQ,2015-11-19
434,머큐리,100590.KQ,2018-12-14
435,메디앙스,014100.KQ,1995-01-03
436,메타바이오메드,059210.KQ,2008-04-15
437,멕아이씨에스,058110.KQ,2015-12-14
438,모두투어,080160.KQ,2005-07-26
439,무림SP,001810.KQ,2000-01-04
440,미래에셋대우스팩3호,328380.KQ,2019-08-20
441,미래에셋벤처투자,100790.KQ,2019-03-15
442,미코,059090.KQ,2002-01-15
443,부스타,008470.KQ,2011-02-23
444,비즈니스온,138580.KQ,2017-11-30
445,비트컴퓨터,032850.KQ,1997-07-04
446,사람인에이치알,143240.KQ,2012-02-21
447,삼륭물산,014970.KQ,1992-12-29
448,삼양옵틱스,225190.KQ,2017-06-02
449,삼영이엔씨,065570.KQ,2003-01-21
450,삼일,032280.KQ,1997-03-15
451,삼일기업공사,002290.KQ,1992-11-30
452,삼지전자,037460.KQ,1999-12-16
453,삼진,032750.KQ,1997-07-14
454,삼화네트웍스,046390.KQ,2001-01-11
455,상보,027580.KQ,2007-10-01
456,상신이디피,091580.KQ,2007-05-23
457,서린바이오,038070.KQ,2005-10-25
458,서연탑메탈,019770.KQ,2011-06-24
459,서울바이오시스,092190.KQ,2020-03-06
460,서호전기,065710.KQ,2002-07-16
461,성우하이텍,015750.KQ,1995-11-04
462,세경하이테크,148150.KQ,2019-07-30
463,세명전기,017510.KQ,1991-12-26
